age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1433,0.938,NaN,NaN,-1.42,-0.76,-2.08
1434,1.013,NaN,NaN,-1.45,-0.79,-2.11
1435,1.046,NaN,NaN,-1.48,-0.82,-2.15
1436,0.944,NaN,NaN,-1.52,-0.86,-2.18
1437,1.018,NaN,NaN,-1.56,-0.89,-2.22
1438,1.009,NaN,NaN,-1.59,-0.92,-2.25
1439,0.732,NaN,NaN,-1.61,-0.94,-2.28
1440,0.905,NaN,NaN,-1.63,-0.97,-2.29
1441,0.933,NaN,NaN,-1.64,-0.98,-2.3
1442,0.951,NaN,NaN,-1.64,-0.98,-2.3
1443,0.997,NaN,NaN,-1.63,-0.97,-2.3
1444,0.899,NaN,NaN,-1.62,-0.95,-2.28
1445,1.016,NaN,NaN,-1.59,-0.93,-2.26
1446,0.959,NaN,NaN,-1.57,-0.9,-2.23
1447,1.004,NaN,NaN,-1.53,-0.87,-2.2
1448,1.048,NaN,NaN,-1.5,-0.84,-2.16
1449,0.929,NaN,NaN,-1.47,-0.8,-2.13
1450,1.017,NaN,NaN,-1.43,-0.77,-2.1
1451,1,NaN,NaN,-1.4,-0.74,-2.07
1452,0.958,NaN,NaN,-1.38,-0.72,-2.04
1453,0.849,NaN,NaN,-1.36,-0.69,-2.02
1454,1.002,NaN,NaN,-1.34,-0.68,-2.01
1455,1.046,NaN,NaN,-1.33,-0.67,-2
1456,0.973,NaN,NaN,-1.33,-0.67,-1.99
1457,0.945,NaN,NaN,-1.33,-0.67,-1.99
1458,1.075,NaN,NaN,-1.33,-0.67,-1.99
1459,1.018,NaN,NaN,-1.34,-0.68,-2
1460,1.048,NaN,NaN,-1.35,-0.68,-2.01
1461,0.895,NaN,NaN,-1.36,-0.69,-2.02
1462,0.961,NaN,NaN,-1.36,-0.7,-2.03
1463,0.899,NaN,NaN,-1.37,-0.7,-2.03
1464,0.953,NaN,NaN,-1.37,-0.71,-2.03
1465,1.032,NaN,NaN,-1.37,-0.71,-2.03
1466,0.924,NaN,NaN,-1.36,-0.7,-2.03
1467,1.05,NaN,NaN,-1.35,-0.69,-2.02
1468,0.9,NaN,NaN,-1.34,-0.67,-2
1469,0.947,NaN,NaN,-1.31,-0.65,-1.98
1470,1.002,NaN,NaN,-1.29,-0.62,-1.95
1471,0.961,NaN,NaN,-1.26,-0.59,-1.92
1472,1.041,NaN,NaN,-1.22,-0.56,-1.88
1473,1.031,NaN,NaN,-1.18,-0.52,-1.84
1474,0.925,NaN,NaN,-1.14,-0.48,-1.8
1475,1.018,NaN,NaN,-1.1,-0.43,-1.76
1476,0.874,NaN,NaN,-1.05,-0.39,-1.72
1477,1.036,NaN,NaN,-1.01,-0.34,-1.67
1478,0.996,NaN,NaN,-0.96,-0.3,-1.62
1479,1.027,NaN,NaN,-0.92,-0.25,-1.58
1480,1.057,NaN,NaN,-0.87,-0.21,-1.53
1481,0.938,NaN,NaN,-0.83,-0.16,-1.49
1482,1.039,NaN,NaN,-0.78,-0.12,-1.45
