D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
"annual temperatures, plus Northern Hemisphere land-only extratropical (20-90N)",,,
"instrumental temperature data, expressed as anomalies in degrees Celsius ",,,
from the 1961-1990AD mean.,,,
,,,
,,,
Year AD,NH Land20-90,STD recon,RCS recon
1535,,-0.23,-0.48
1536,,-0.2,-0.52
1537,,-0.18,-0.45
1538,,-0.1,-0.41
1539,,-0.03,-0.37
1540,,-0.02,-0.37
1541,,-0.32,-0.56
1542,,-0.34,-0.63
1543,,-0.55,-0.7
1544,,-0.41,-0.6
1545,,-0.21,-0.45
1546,,-0.37,-0.51
1547,,-0.33,-0.47
1548,,-0.3,-0.46
1549,,-0.45,-0.56
1550,,-0.21,-0.43
1551,,-0.18,-0.41
1552,,-0.11,-0.3
1553,,-0.21,-0.49
1554,,-0.26,-0.5
1555,,-0.24,-0.45
1556,,-0.36,-0.51
1557,,-0.25,-0.41
1558,,-0.08,-0.38
1559,,-0.08,-0.35
1560,,-0.04,-0.29
1561,,-0.19,-0.35
1562,,-0.19,-0.33
1563,,-0.11,-0.33
1564,,0.05,-0.22
1565,,0.06,-0.18
1566,,-0.13,-0.39
1567,,-0.09,-0.32
1568,,-0.09,-0.37
1569,,-0.2,-0.38
1570,,-0.37,-0.61
1571,,-0.5,-0.63
1572,,-0.29,-0.5
1573,,-0.32,-0.49
1574,,-0.33,-0.55
1575,,-0.11,-0.32
1576,,-0.46,-0.65
1577,,-0.34,-0.57
1578,,-0.41,-0.6
1579,,-0.56,-0.75
1580,,-0.59,-0.82
1581,,-0.56,-0.77
1582,,-0.34,-0.6
1583,,-0.43,-0.61
1584,,-0.28,-0.58
1585,,-0.51,-0.69
1586,,-0.22,-0.48
1587,,-0.73,-0.89
1588,,-0.56,-0.79
1589,,-0.8,-0.97
1590,,-0.52,-0.75
1591,,-0.61,-0.86
1592,,-0.46,-0.79
1593,,-0.69,-0.92
1594,,-0.38,-0.73
1595,,-0.46,-0.79
1596,,-0.75,-1
1597,,-0.42,-0.76
1598,,-0.5,-0.81
1599,,-0.33,-0.65
1600,,-0.53,-0.83
1601,,-0.88,-1.15
1602,,-0.77,-1.02
1603,,-0.67,-1.05
1604,,-0.61,-0.9
1605,,-0.75,-1.04
1606,,-0.57,-0.88
1607,,-0.68,-1.03
1608,,-0.64,-0.89
1609,,-0.61,-0.92
1610,,-0.38,-0.68
1611,,-0.4,-0.68
1612,,-0.4,-0.62
1613,,-0.39,-0.58
1614,,-0.42,-0.68
1615,,-0.43,-0.73
1616,,-0.29,-0.58
1617,,-0.37,-0.56
1618,,-0.49,-0.66
1619,,-0.43,-0.62
1620,,-0.55,-0.73
1621,,-0.3,-0.48
1622,,-0.49,-0.74
1623,,-0.45,-0.63
1624,,-0.41,-0.58
1625,,-0.39,-0.56
1626,,-0.33,-0.51
1627,,-0.44,-0.65
1628,,-0.56,-0.74
1629,,-0.36,-0.69
1630,,-0.37,-0.58
1631,,-0.54,-0.8
1632,,-0.34,-0.51
1633,,-0.45,-0.73
1634,,-0.39,-0.55
1635,,-0.6,-0.77
1636,,-0.38,-0.52
1637,,-0.28,-0.44
1638,,-0.22,-0.39
1639,,-0.45,-0.56
1640,,-0.18,-0.3
1641,,-0.61,-0.73
1642,,-0.8,-0.9
1643,,-0.66,-0.81
1644,,-0.61,-0.79
1645,,-0.65,-0.84
1646,,-0.56,-0.78
1647,,-0.57,-0.8
1648,,-0.45,-0.65
1649,,-0.43,-0.64
1650,,-0.33,-0.55
1651,,-0.42,-0.71
1652,,-0.51,-0.77
1653,,-0.4,-0.73
1654,,-0.36,-0.64
1655,,-0.34,-0.55
1656,,-0.24,-0.54
1657,,-0.23,-0.54
1658,,-0.1,-0.47
1659,,-0.21,-0.51
1660,,-0.24,-0.56
1661,,-0.25,-0.55
1662,,-0.35,-0.63
1663,,-0.52,-0.74
1664,,-0.37,-0.66
1665,,-0.34,-0.63
1666,,-0.37,-0.59
1667,,-0.51,-0.64
1668,,-0.32,-0.58
1669,,-0.27,-0.55
1670,,-0.52,-0.67
1671,,-0.47,-0.7
1672,,-0.23,-0.51
1673,,-0.33,-0.59
1674,,-0.65,-0.96
1675,,-0.56,-0.85
1676,,-0.56,-0.84
1677,,-0.76,-0.96
1678,,-0.55,-0.87
1679,,-0.58,-0.89
1680,,-0.7,-0.99
